"game_id","date","opponent","game_won","points_for","points_against"
1,"Oct 2, 2021",Pittsburg Pirates,False,6,8
2,"Oct 1, 2021",Pittsburg Pirates,False,2,9
3,"Sep 29, 2021",Chicago White Sox,False,1,6
4,"Sep 28, 2021",Chicago White Sox,False,1,7
5,"Sep 27, 2021",Pittsburg Pirates,True,13,1
6,"Sep 26, 2021",Washington Nationals,True,9,2
7,"Sep 25, 2021",Washington Nationals,True,7,6
8,"Sep 24, 2021",Washington Nationals,True,8,7
9,"Sep 23, 2021",Washington Nationals,False,2,3
10,"Sep 21, 2021",Pittsburg Pirates,False,2,6
11,"Sep 20, 2021",Pittsburg Pirates,True,9,5
12,"Sep 19, 2021",Los Angeles Dodgers,False,5,8
13,"Sep 18, 2021",Los Angeles Dodgers,False,1,5
14,"Sep 17, 2021",Los Angeles Dodgers,True,3,1
15,"Sep 16, 2021",Pittsburg Pirates,True,1,0
16,"Sep 15, 2021",Pittsburg Pirates,False,4,5
17,"Sep 14, 2021",Pittsburg Pirates,False,5,6
18,"Sep 12, 2021",St. Louis Cardinals,False,0,2
19,"Sep 11, 2021",St. Louis Cardinals,False,4,6
20,"Sep 10, 2021",St. Louis Cardinals,True,4,2
