state,cases,deaths
Alabama,851237,16243
Alaska,151979,862
American Samoa,1,0
Arizona,1309184,22947
Arkansas,536368,8810
California,5148904,75374
Colorado,856884,9744
Connecticut,436143,8946
Delaware,158600,2210
District of Columbia,68460,1197
Florida,3708204,62007
Georgia,1642875,29675
Guam,20252,268
Hawaii,85676,1037
Idaho,311178,4014
Illinois,1889717,29842
Indiana,1149275,17954
Iowa,542433,7550
Kansas,486884,6857
Kentucky,813149,11543
Louisiana,775935,14877
Maine,128981,1365
Maryland,592912,11255
Massachusetts,963923,19606
Michigan,1550852,26614
Minnesota,956903,9996
Mississippi,518670,10317
Missouri,948628,15688
Montana,193906,2822
Nebraska,320943,2862
Nevada,477407,8153
New Hampshire,173089,1773
New Jersey,1295005,28543
New Mexico,328332,5461
New York,2816974,57507
North Carolina,1566553,18986
North Dakota,166641,1985
Northern Mariana Islands,1514,5
Ohio,1761008,27011
Oklahoma,678343,11384
Oregon,399361,5356
Pennsylvania,1818299,34415
Puerto Rico,222999,3274
Rhode Island,200197,2951
South Carolina,929077,14375
South Dakota,171248,2398
Tennessee,1301673,17519
Texas,4360768,74774
Utah,609486,3632
Vermont,55057,429
Virginia,994069,14895
Virgin Islands,7588,87
Washington,791995,9589
West Virginia,305418,5085
Wisconsin,1017528,10330
Wyoming,112731,1472
