game_id,date,opponent,is_home_game,game_won,goals_for,goals_against,goal_differential
hockey_nashville_1,2021-11-27,Colorado Avalanche,False,False,2,6,-4
hockey_nashville_2,2021-11-26,New Jersey Devils,True,True,4,2,2
hockey_nashville_3,2021-11-24,Vegas Golden Knights,True,False,2,5,-3
hockey_nashville_4,2021-11-22,Anaheim Ducks,True,True,3,2,1
hockey_nashville_5,2021-11-20,Montreal Canadiens,False,False,3,6,-3
hockey_nashville_6,2021-11-16,Toronto Maple Leafs,False,False,0,3,-3
hockey_nashville_7,2021-11-13,Arizona Coyotes,True,True,4,1,3
hockey_nashville_8,2021-11-11,St. Louis Blues,False,True,4,3,1
hockey_nashville_9,2021-11-10,Dallas Stars,False,True,4,2,2
hockey_nashville_10,2021-11-07,Chicago Blackhawks,False,False,1,2,-1
hockey_nashville_11,2021-11-05,Vancouver Canucks,False,True,3,2,1
hockey_nashville_12,2021-11-03,Edmonton Oilers,False,False,2,5,-3
hockey_nashville_13,2021-11-02,Calgary Flames,False,True,3,2,1
hockey_nashville_14,2021-10-30,New York Islanders,True,True,3,2,1
hockey_nashville_15,2021-10-26,San Jose Sharks,True,True,3,1,2
hockey_nashville_16,2021-10-24,Minnesota Wild,False,True,5,2,3
hockey_nashville_17,2021-10-23,Winnipeg Jets,False,False,4,6,-2
hockey_nashville_18,2021-10-21,New York Rangers,True,False,1,3,-2
hockey_nashville_19,2021-10-19,Los Angeles Kings,True,True,2,1,1
hockey_nashville_20,2021-10-16,Carolina Hurricanes,True,False,2,3,-1
hockey_nashville_21,2021-10-14,Seattle Kraken,True,False,3,4,-1
